_id,Fecha,Hora,Latitud,Longitud,Profundidad,Intensidad
ObjectId("5db9da9a9bc966cd0d824db0"),2019-10-30,01:00:12,15.82,-94,88.0 km,3.9
ObjectId("5db9da9a9bc966cd0d824db2"),2019-10-30,00:46:46,16.36,-95.36,66.0 km,3.7
ObjectId("5db9da9a9bc966cd0d824db4"),2019-10-30,00:46:45,18.09,-103.62,12.0 km,4.1
ObjectId("5dbaf425cb8645d93848c969"),2019-10-31,05:49:16,15.42,-94.97,18.0 km,4
ObjectId("5dbaf425cb8645d93848c96b"),2019-10-31,05:06:01,15.66,-95.11,36.0 km,4.2
ObjectId("5dbaf425cb8645d93848c96d"),2019-10-31,04:57:36,16.34,-98.23,13.0 km,3.6
ObjectId("5dbaf425cb8645d93848c96f"),2019-10-31,04:14:08,17.05,-96.09,16.0 km,3.6
ObjectId("5dbaf425cb8645d93848c971"),2019-10-31,03:59:46,16.24,-98.08,7.0 km,3.4
ObjectId("5dbaf425cb8645d93848c973"),2019-10-31,03:47:45,16.72,-99.18,22.0 km,3.2
ObjectId("5dbaf425cb8645d93848c975"),2019-10-31,03:39:29,14.92,-98.04,17.0 km,3.8
ObjectId("5dbaf425cb8645d93848c977"),2019-10-31,03:28:19,16.23,-98.07,7.0 km,3.4
ObjectId("5dbaf425cb8645d93848c979"),2019-10-31,03:28:18,16.92,-99.12,5.0 km,3.1
ObjectId("5dbaf425cb8645d93848c97b"),2019-10-31,03:06:29,17.92,-100.74,62.0 km,3.4
ObjectId("5dbaf425cb8645d93848c97d"),2019-10-31,02:28:51,16.33,-93.56,137.0 km,3.7
ObjectId("5dbaf425cb8645d93848c97f"),2019-10-31,01:50:59,16.31,-98.3,10.0 km,3.4
ObjectId("5dbaf425cb8645d93848c981"),2019-10-31,01:45:59,16.16,-95.22,55.0 km,3.8
ObjectId("5dbaf425cb8645d93848c983"),2019-10-31,01:43:08,16.16,-95.2,4.0 km,3.7
ObjectId("5dbaf425cb8645d93848c985"),2019-10-31,01:39:21,17,-94.5,64.0 km,3.4
ObjectId("5dbc422f94b2dc34e2679ee3"),2019-11-01,07:52:55,17.99,-100.49,55.0 km,4.1
ObjectId("5dbc422f94b2dc34e2679ee5"),2019-11-01,04:56:16,17.6,-94.78,136.0 km,3.6
ObjectId("5dbc422f94b2dc34e2679ee7"),2019-11-01,04:53:29,16.78,-94.43,5.0 km,3.6
ObjectId("5dbc422f94b2dc34e2679ee9"),2019-11-01,04:44:20,16.07,-97.14,18.0 km,3.6
ObjectId("5dbc422f94b2dc34e2679eeb"),2019-11-01,04:28:31,15.23,-94.57,17.0 km,3.8
ObjectId("5dbc422f94b2dc34e2679eed"),2019-11-01,04:23:59,19.11,-104.16,5.0 km,3.4
ObjectId("5dbc422f94b2dc34e2679eef"),2019-11-01,04:05:48,15.76,-95.26,9.0 km,3.9
ObjectId("5dbc422f94b2dc34e2679ef1"),2019-11-01,03:57:42,18.16,-103.46,5.0 km,3.5
ObjectId("5dbc422f94b2dc34e2679ef3"),2019-11-01,03:43:55,17.11,-101.08,27.0 km,3.5
ObjectId("5dbc422f94b2dc34e2679ef5"),2019-11-01,03:42:15,16.07,-97.61,14.0 km,3.5
ObjectId("5dbc422f94b2dc34e2679ef7"),2019-11-01,03:33:02,16.55,-99.64,14.0 km,3.4
ObjectId("5dbc422f94b2dc34e2679ef9"),2019-11-01,03:23:33,16,-97.49,15.0 km,3.6
ObjectId("5dbc422f94b2dc34e2679efb"),2019-11-01,02:23:35,16.31,-98.22,21.0 km,3.1
ObjectId("5dbc422f94b2dc34e2679efd"),2019-11-01,02:11:09,16.26,-97.45,5.0 km,3.2
ObjectId("5dbc422f94b2dc34e2679eff"),2019-11-01,02:01:51,15.48,-94.84,22.0 km,3.6
ObjectId("5dbdb46994b2dc34e267a18a"),2019-11-02,08:21:58,15.93,-98.15,6.0 km,4.2
ObjectId("5dbdb46994b2dc34e267a18c"),2019-11-02,04:44:19,17.42,-101.55,19.0 km,3.7
ObjectId("5dbdb46994b2dc34e267a18e"),2019-11-02,04:41:02,16.01,-95.21,16.0 km,4.3
ObjectId("5dbdb46994b2dc34e267a190"),2019-11-02,03:34:28,14.7,-92.18,86.0 km,3.9
ObjectId("5dbdb46994b2dc34e267a192"),2019-11-02,02:28:27,16.12,-97.18,37.0 km,3.2
ObjectId("5dbdb46994b2dc34e267a194"),2019-11-02,02:04:39,32.32,-115.37,8.0 km,3.7
ObjectId("5dbdb46994b2dc34e267a196"),2019-11-02,01:42:03,15.07,-94.46,16.0 km,3.7
ObjectId("5dbdb46994b2dc34e267a198"),2019-11-02,01:39:11,17.01,-99.6,32.0 km,3.5
ObjectId("5dbdb46994b2dc34e267a19a"),2019-11-02,01:26:13,14.95,-94.18,18.0 km,3.7
ObjectId("5dbdb46994b2dc34e267a19c"),2019-11-02,01:16:58,16.73,-94.37,116.0 km,3.6
ObjectId("5dbdb46994b2dc34e267a19e"),2019-11-02,00:55:00,16.44,-94.38,109.0 km,3.5
ObjectId("5dbdb46994b2dc34e267a1a0"),2019-11-02,00:00:34,16.77,-95.67,54.0 km,3.6
ObjectId("5dbdb46994b2dc34e267a1a2"),2019-11-01,23:13:39,16.45,-95.49,61.0 km,3.6
ObjectId("5dbdb46994b2dc34e267a1a4"),2019-11-01,23:10:25,16.52,-98.48,5.0 km,3.2
ObjectId("5dbdb46994b2dc34e267a1a6"),2019-11-01,22:22:06,16.31,-98.22,14.0 km,3.4
ObjectId("5dc0346494b2dc34e267a5ba"),2019-11-04,04:17:31,16.46,-95.1,68.0 km,3.6
ObjectId("5dc0346494b2dc34e267a5bc"),2019-11-04,04:13:40,16.43,-95.08,58.0 km,3.7
ObjectId("5dc0346494b2dc34e267a5be"),2019-11-04,03:48:26,16.28,-97.75,50.0 km,3.4
ObjectId("5dc0346494b2dc34e267a5c0"),2019-11-04,03:09:24,17.22,-101.51,19.0 km,4
ObjectId("5dc0346494b2dc34e267a5c2"),2019-11-04,02:28:31,16.51,-94.65,8.0 km,3.8
ObjectId("5dc0346494b2dc34e267a5c4"),2019-11-04,02:19:31,18.09,-99.59,54.0 km,3.5
ObjectId("5dc0346494b2dc34e267a5c6"),2019-11-04,02:17:41,15.99,-95.22,10.0 km,3.5
ObjectId("5dc0346494b2dc34e267a5c8"),2019-11-04,02:15:39,15.35,-94.74,17.0 km,3.8
ObjectId("5dc0346494b2dc34e267a5ca"),2019-11-04,01:42:11,15.96,-95.26,65.0 km,3.9
ObjectId("5dc0346494b2dc34e267a5cc"),2019-11-03,23:40:46,16.36,-95.05,13.0 km,3.5
ObjectId("5dc0346494b2dc34e267a5ce"),2019-11-03,23:10:00,15.88,-95.18,15.0 km,3.5
ObjectId("5dc0346494b2dc34e267a5d0"),2019-11-03,23:06:51,16.38,-95.2,9.0 km,3.4
ObjectId("5dc0346494b2dc34e267a5d2"),2019-11-03,23:04:38,16.96,-100.07,37.0 km,3.3
ObjectId("5dc0346494b2dc34e267a5d4"),2019-11-03,23:01:23,15.47,-95.16,31.0 km,3.9
ObjectId("5dc0346494b2dc34e267a5d6"),2019-11-03,22:36:34,17.1,-100.24,42.0 km,3.4
ObjectId("5dc0760094b2dc34e267a6a0"),2019-11-04,12:31:10,20.4,-106.25,17.0 km,4.2
ObjectId("5dc0760094b2dc34e267a6a2"),2019-11-04,09:16:09,17.26,-95.21,121.0 km,4.2
ObjectId("5dc18dcd8c23f5086bfea9eb"),2019-11-05,04:48:28,15.4,-94.82,16.0 km,3.7
ObjectId("5dc18dcd8c23f5086bfea9ed"),2019-11-05,03:59:02,16.99,-100.25,36.0 km,3.6
ObjectId("5dc18dcd8c23f5086bfea9ef"),2019-11-05,03:16:11,16.51,-98.41,3.0 km,3.5
ObjectId("5dc18dcd8c23f5086bfea9f1"),2019-11-05,03:11:22,18.52,-103.25,49.0 km,3.7
ObjectId("5dc18dcd8c23f5086bfea9f3"),2019-11-05,02:58:39,16.17,-95.03,96.0 km,3.8
ObjectId("5dc18dcd8c23f5086bfea9f5"),2019-11-05,02:42:10,30.3,-114.08,6.0 km,3.8
ObjectId("5dc18dcd8c23f5086bfea9f7"),2019-11-05,02:30:29,30.29,-114.12,10.0 km,3.9
ObjectId("5dc18dcd8c23f5086bfea9f9"),2019-11-05,02:15:44,17.03,-95.57,67.0 km,3.5
